Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date
Mobile App,1.0,2200.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,2.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,3.0,1900.0,General Trade,Home Care,cancelled,Kitchen Supplies,0.03529411764705882
Mobile App,10.0,3550.0,Wholesale,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,20.0,2300.0,Wholesale,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,1900.0,General Trade,Home Care,cancelled,Kitchen Supplies,0.03529411764705882
Mobile App,1.0,2200.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Mobile App,1.0,2300.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,2400.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Mobile App,1.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Mobile App,1.0,2200.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Mobile App,1.0,2150.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Mobile App,1.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,5.0,3550.0,Wholesale,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,2.0,3500.0,Wholesale,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,4.0,2350.0,Wholesale,Home Care,cancelled,Household Clean,0.03529411764705882
Whatsapp,1.0,2300.0,General Trade,Home Care,cancelled,Fabric Clean,0.03529411764705882
Whatsapp,2.0,2250.0,General Trade,Home Care,cancelled,Household Clean,0.03529411764705882
